2-Oxocarboxylic acid metabolism	HICITD
Alanine and aspartate metabolism	AGTi	ALAALA	ALAALAD	ALAD_L	ALAD_R	ALAR	ARGSL	ARGSS	ARGSSr	ASADi	ASNS1	ASNS2	ASPNH4L	ASPNH4Li	ASPT	ASPTA	DAAD	L_ALAOPAT	NACASPAH	r0127
Alkaloid synthesis	NMPTRCOX
Aminobenzoate degradation	4HBADH	4HBALDDH	4HBZCL	4NTPPH2	BZAMAH	VNDH-2
Aminophosphonate metabolism	PACTH
Aminosugar metabolism	ACGALK3	ACGAM2E	ACGAM6PSi	ACGAMH	ACGAMK	ACGAMPM	ACNAMS	ACNML	AGDC	AGDC2	AHEXASE3	AMANAPEr	AMANK	CDPGHL	CMPSAS	G6PDA	GALAM6PDA	GF6PTA	HEX10	UACMAMAT	UACMAMO	UAG2E	UAG2EMA	UAG4E	UAGAAT	UAGCVT_r	UAGDP	UDPGALM
Arginine and proline metabolism	1P4H2CBXLAH	4HPROI	4HPROOX	5APTLPO	5DOAN	ACGK	ACOCT	ACONMT	ACOTA	ADMDC	ADMDCr	AGMD	AGMT	ALPHNH	AMID	AMID2	AMID4	AMID5	ARGDA	ARGDC	AST	CBMK	CBMKr	DDPGA	EHGLAT	G5SDr	GGGABADr	GGGABARr	GLU5K	GSPMDA	GSPMDS	HPROxr	HPROyr	HYPD	HYPSUCORNS	MDRPD	MTAN	MTAP	MTRI	MTRK	NCPTRCA	NOS1	NWHARGOX	ORNCD	ORNTA	ORNTAC	P5CR	P5CRy	P5CRyr	PAOOX	PRO1x	PROD2	PROD3	PROD3i	PROLR	PRO_DR	PTRCTA	SADH	SGDS	SGSAD	SOTA	SPMDAT1	SPMDAT2	SUCCITRDSs	SUCORNTC	UREA
Ascorbate and aldarate metabolism	2DDPENTHL	2DH3DGLCA	AB14LACH	ANOX	ARABTH	ASCBPL	D4DGCD	D4DGCDi	DKGLCNR1	GALCTD	GLCRAL	GLCRD	GLCRHL	GULLACO	GULLACOX
Benzoate degradation	25K5O2AI	2HMCOXT	34DCCBR	3OXCOAT	BZ12DOX	BZ12DOXy	BZDIOLDH	CATDOX	CMLDC	MUCCYCI	OXOAEL	PCAB
Bile acid metabolism	12aHSDHe	7AHSDH	7AHSDHe	BAIA1	BAIA2	BAIA3	BAICDH1	BAICDH2	BAICDH3	BAICDH4	BAICDH5	BAICDH6	BAIEI1	BAIEI2	BAIEI3	BAIF1	BAIF2	BAIF3	BAIV1	BAIV2	BAIW1	BAIW2	BAIX1	BAIX2	BAIY1	BAIY2	BAIZ1	BAIZ2	BICoAL1	BICoAL2	BICoAL3	CA3aHSDHe	CDCA3aHSDHe	CDCA7aHSDHe	CHSTRedC	CHSTRedE	GCDCHOLBHSe	GCHOLBHSe	ICA3bHSDHe	ICDCA3bHSDHe	TCDCHOLBHSe	TCHOLBHSe	UCA7bHSDHe	UDCA7bHSDHe
Bile acid synthesis	AKR1D	RE1834C	r0739
